IndustryTypeCode,IndustryTypeName,NACE Code A,A
i19,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear",15.0,Manufacture of leather and related products
i20,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",16.0,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
i20.w,Re-processing of secondary wood material into new wood material,16.0,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
i21.1,Pulp,17.11,Manufacture of pulp
i21.w.1,Re-processing of secondary paper into new pulp,17.11,Manufacture of pulp
i21.2,Paper,17.12,Manufacture of paper and paperboard
i21.2,Paper,17.2,Manufacture of articles of paper and paperboard
i22,"Publishing, printing and reproduction of recorded media",18.0,Printing and reproduction of recorded media
i22,"Publishing, printing and reproduction of recorded media",58.1,"Publishing of books, periodicals and other publishing activities"
i23.1,Manufacture of coke oven products,19.1,Manufacture of coke oven products
i23.2,Petroleum Refinery,19.2,Manufacture of refined petroleum products
i23.3,Processing of nuclear fuel,20.13,Manufacture of other inorganic basic chemicals
i23.3,Processing of nuclear fuel,21.2,Manufacture of pharmaceutical preparations
i23.3,Processing of nuclear fuel,24.46,Processing of nuclear fuel 
i23.3,Processing of nuclear fuel,38.12,Collection of hazardous waste
i23.3,Processing of nuclear fuel,38.22,Treatment and disposal of hazardous waste
i24.1,"Plastics, basic",20.16,Manufacture of plastics in primary forms
i24.1.w,Re-processing of secondary plastic into new plastic,20.16,Manufacture of plastics in primary forms
i24.2,N-fertiliser,20.15,Manufacture of fertilisers and nitrogen compounds
i24.3,P- and other fertiliser,20.15,Manufacture of fertilisers and nitrogen compounds
i24.4,Chemicals nec,20.0,Manufacture of chemicals and chemical products
i25,Manufacture of rubber and plastic products,22.0,Manufacture of rubber and plastic products
i26.a,Manufacture of glass and glass products,23.1,Manufacture of glass and glass products
i26.w.1,Re-processing of secondary glass into new glass,23.1,Manufacture of glass and glass products
i26.b,Manufacture of ceramic goods,23.2,Manufacture of refractory products
i26.b,Manufacture of ceramic goods,23.31,Manufacture of ceramic tiles and flags
i26.b,Manufacture of ceramic goods,23.4,Manufacture of other porcelain and ceramic products
i26.c,"Manufacture of bricks, tiles and construction products, in baked clay",23.32,"Manufacture of bricks, tiles and construction products, in baked clay"
i26.d,"Manufacture of cement, lime and plaster",23.5,"Manufacture of cement, lime and plaster"
i26.d.w,Re-processing of ash into clinker,23.5,"Manufacture of cement, lime and plaster"
i26.e,Manufacture of other non-metallic mineral products n.e.c.,23.6,"Manufacture of articles of concrete, cement and plaster"
i26.e,Manufacture of other non-metallic mineral products n.e.c.,23.7,"Cutting, shaping and finishing of stone"
i26.e,Manufacture of other non-metallic mineral products n.e.c.,23.9,Manufacture of abrasive products and non-metallic mineral products n.e.c.
i27.a,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,24.1,Manufacture of basic iron and steel and of ferro-alloys
i27.a,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,24.2,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
i27.a,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,24.3,Manufacture of other products of first processing of steel
i27.a.w,Re-processing of secondary steel into new steel,24.3,Manufacture of other products of first processing of steel
i27.41,Precious metals production,24.41,Precious metals production
i27.41.w,Re-processing of secondary preciuos metals into new preciuos metals,24.41,Precious metals production
i27.42,Aluminium production,24.42,Aluminium production
i27.42.w,Re-processing of secondary aluminium into new aluminium,24.42,Aluminium production
i27.43,"Lead, zinc and tin production",24.43,"Lead, zinc and tin production"
i27.43.w,Re-processing of secondary lead into new lead,24.43,"Lead, zinc and tin production"
i27.44,Copper production,24.44,Copper production
i27.44.w,Re-processing of secondary copper into new copper,24.44,Copper production
i27.45,Other non-ferrous metal production,24.45,Other non-ferrous metal production
i27.45.w,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,24.45,Other non-ferrous metal production
i27.5,Casting of metals,24.5,Casting of metals
i28,"Manufacture of fabricated metal products, except machinery and equipment",25.0,"Manufacture of fabricated metal products, except machinery and equipment"
i29,Manufacture of machinery and equipment n.e.c.,28.1,Manufacture of general-purpose machinery
i29,Manufacture of machinery and equipment n.e.c.,28.11,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
i29,Manufacture of machinery and equipment n.e.c.,28.12,Manufacture of fluid power equipment
i29,Manufacture of machinery and equipment n.e.c.,28.13,Manufacture of other pumps and compressors
i29,Manufacture of machinery and equipment n.e.c.,28.14,Manufacture of other taps and valves
i29,Manufacture of machinery and equipment n.e.c.,28.15,"Manufacture of bearings, gears, gearing and driving elements"
i29,Manufacture of machinery and equipment n.e.c.,28.2,Manufacture of other general-purpose machinery
i29,Manufacture of machinery and equipment n.e.c.,28.21,"Manufacture of ovens, furnaces and furnace burners"
i29,Manufacture of machinery and equipment n.e.c.,28.22,Manufacture of lifting and handling equipment
i29,Manufacture of machinery and equipment n.e.c.,28.24,Manufacture of power-driven hand tools
i29,Manufacture of machinery and equipment n.e.c.,28.25,Manufacture of non-domestic cooling and ventilation equipment
i29,Manufacture of machinery and equipment n.e.c.,28.29,Manufacture of other general-purpose machinery n.e.c.
i29,Manufacture of machinery and equipment n.e.c.,28.3,Manufacture of agricultural and forestry machinery
i29,Manufacture of machinery and equipment n.e.c.,28.4,Manufacture of metal forming machinery and machine tools
i29,Manufacture of machinery and equipment n.e.c.,28.41,Manufacture of metal forming machinery
i29,Manufacture of machinery and equipment n.e.c.,28.49,Manufacture of other machine tools
i29,Manufacture of machinery and equipment n.e.c.,28.9,Manufacture of other special-purpose machinery
i29,Manufacture of machinery and equipment n.e.c.,28.91,Manufacture of machinery for metallurgy
i29,Manufacture of machinery and equipment n.e.c.,28.92,"Manufacture of machinery for mining, quarrying and construction"
i29,Manufacture of machinery and equipment n.e.c.,28.93,"Manufacture of machinery for food, beverage and tobacco processing"
i29,Manufacture of machinery and equipment n.e.c.,28.94,"Manufacture of machinery for textile, apparel and leather production"
i29,Manufacture of machinery and equipment n.e.c.,28.95,Manufacture of machinery for paper and paperboard production
i29,Manufacture of machinery and equipment n.e.c.,28.96,Manufacture of plastics and rubber machinery
i29,Manufacture of machinery and equipment n.e.c.,28.99,Manufacture of other special-purpose machinery n.e.c.
i30,Manufacture of office machinery and computers,28.23,Manufacture of office machinery and equipment (except computers and peripheral equipment)
i30,Manufacture of office machinery and computers,26.2,Manufacture of computers and peripheral equipment
i31,Manufacture of electrical machinery and apparatus n.e.c.,27.0,Manufacture of electrical equipment
i32,"Manufacture of radio, television and communication equipment and apparatus",26.1,Manufacture of electronic components and boards
i32,"Manufacture of radio, television and communication equipment and apparatus",26.11,Manufacture of electronic components
i32,"Manufacture of radio, television and communication equipment and apparatus",26.12,Manufacture of loaded electronic boards
i32,"Manufacture of radio, television and communication equipment and apparatus",26.3,Manufacture of communication equipment
i32,"Manufacture of radio, television and communication equipment and apparatus",26.4,Manufacture of consumer electronics
i33,"Manufacture of medical, precision and optical instruments, watches and clocks",26.5,"Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks"
i33,"Manufacture of medical, precision and optical instruments, watches and clocks",26.51,"Manufacture of instruments and appliances for measuring, testing and navigation"
i33,"Manufacture of medical, precision and optical instruments, watches and clocks",26.52,Manufacture of watches and clocks
i33,"Manufacture of medical, precision and optical instruments, watches and clocks",26.6,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
i33,"Manufacture of medical, precision and optical instruments, watches and clocks",26.7,Manufacture of optical instruments and photographic equipment
i33,"Manufacture of medical, precision and optical instruments, watches and clocks",26.8,Manufacture of magnetic and optical media
i33,"Manufacture of medical, precision and optical instruments, watches and clocks",32.5,Manufacture of medical and dental instruments and supplies
i34,"Manufacture of motor vehicles, trailers and semi-trailers",29.0,"Manufacture of motor vehicles, trailers and semi-trailers"
i35,Manufacture of other transport equipment,30.0,Manufacture of other transport equipment
i36,Manufacture of furniture; manufacturing n.e.c.,31.0,Manufacture of furniture
i36,Manufacture of furniture; manufacturing n.e.c.,32.1,"Manufacture of jewellery, bijouterie and related articles"
i36,Manufacture of furniture; manufacturing n.e.c.,32.2,Manufacture of musical instruments
i36,Manufacture of furniture; manufacturing n.e.c.,32.3,Manufacture of sports goods
i36,Manufacture of furniture; manufacturing n.e.c.,32.4,Manufacture of games and toys
i36,Manufacture of furniture; manufacturing n.e.c.,32.9,Manufacturing n.e.c.
i37,Recycling of waste and scrap,,
i37.w.1,Recycling of bottles by direct reuse,,
i40.11.a,Production of electricity by coal,35.11,Production of electricity
i40.11.b,Production of electricity by gas,35.11,Production of electricity
i40.11.c,Production of electricity by nuclear,35.11,Production of electricity
i40.11.d,Production of electricity by hydro,35.11,Production of electricity
i40.11.e,Production of electricity by wind,35.11,Production of electricity
i40.11.f,Production of electricity by petroleum and other oil derivatives,35.11,Production of electricity
i40.11.g,Production of electricity by biomass and waste,35.11,Production of electricity
i40.11.h,Production of electricity by solar photovoltaic,35.11,Production of electricity
i40.11.i,Production of electricity by solar thermal,35.11,Production of electricity
i40.11.j,"Production of electricity by tide, wave, ocean",35.11,Production of electricity
i40.11.k,Production of electricity by Geothermal,35.11,Production of electricity
i40.11.l,Production of electricity nec,35.11,Production of electricity
i40.12,Transmission of electricity,35.12,Transmission of electricity
i40.13,Distribution and trade of electricity,35.13,Distribution of electricity
i40.13,Distribution and trade of electricity,35.14,Trade of electricity
I40.2.a,Manufacture of gas,35.21,Manufacture of gas
I40.2.b,Distribution of gaseous fuels through mains,35.22,Distribution of gaseous fuels through mains
i40.3,Manufacture of gas; distribution of gaseous fuels through mains,35.23,Trade of gas through mains
i40.3,Steam and hot water supply,35.3,Steam and air conditioning supply
i41,"Collection, purification and distribution of water",36.0,"Water collection, treatment and supply"
i45,Construction,41.0,Construction of buildings
i45.w,Re-processing of secondary construction material into aggregates,,
i50.a,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",45.0,Wholesale and retail trade and repair of motor vehicles and motorcycles
i50.b,Retail sale of automotive fuel,47.3,Retail sale of automotive fuel in specialised stores
i51,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",46.0,"Wholesale trade, except of motor vehicles and motorcycles"
i52,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods",47.1,Retail sale in non-specialised stores
i52,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods",47.2,"Retail sale of food, beverages and tobacco in specialised stores"
i52,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods",47.4,Retail sale of information and communication equipment in specialised stores
i52,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods",47.5,Retail sale of other household equipment in specialised stores
i52,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods",47.6,Retail sale of cultural and recreation goods in specialised stores
i52,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods",47.7,Retail sale of other goods in specialised stores
i52,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods",47.8,Retail sale via stalls and markets
i52,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods",47.9,"Retail trade not in stores, stalls or markets"
i55,Hotels and restaurants,55.0,Accommodation
i55,Hotels and restaurants,56.0,Food and beverage service activities
i60.1,Transport via railways,49.1,"Passenger rail transport, interurban"
i60.1,Transport via railways,49.2,Freight rail transport
i60.2,Other land transport,49.3,Other passenger land transport
i60.3,Transport via pipelines,49.5,Transport via pipeline
i61.1,Sea and coastal water transport,50.1,Sea and coastal passenger water transport
i61.2,Inland water transport,50.3,Inland passenger water transport
i61.2,Inland water transport,50.4,Inland freight water transport
i62,Air transport,51.0,Air transport
i63,Supporting and auxiliary transport activities; activities of travel agencies,52.0,Warehousing and support activities for transportation
i63,Supporting and auxiliary transport activities; activities of travel agencies,79.0,"Travel agency, tour operator and other reservation service and related activities"
i64,Post and telecommunications,53.0,Postal and courier activities
i64,Post and telecommunications,59.0,"Motion picture, video and television programme production, sound recording and music publsihing activities"
i64,Post and telecommunications,60.0,Programming and broadcasting activities
i64,Post and telecommunications,61.0,Telecommunications
i65,"Financial intermediation, except insurance and pension funding",64.0,"Financial service activities, except insurance and pension funding"
i66,"Insurance and pension funding, except compulsory social security",65.0,"Insurance, reinsurance and pension funding, except compulsory social security"
i67,Activities auxiliary to financial intermediation,66.0,Activities auxiliary to financial services and insurance activities
i70,Real estate activities,68.0,Real estate activities
i71,Renting of machinery and equipment without operator and of personal and household goods,77.0,Rental and leasing activities
i72,Computer and related activities,58.2,Software publishing
i72,Computer and related activities,62.0,"Computer programming, consultancy and related activities"
i72,Computer and related activities,63.0,Information service activities
i73,Research and development,72.0,Scientific research and development
i74,Other business activities,69.0,Legal and accounting activities
i74,Other business activities,70.0,Activities of head offices; management consultancy activities
i74,Other business activities,71.0,Architectural and engineering activities; technical testing and analysis
i74,Other business activities,73.0,Advertising and market research
i74,Other business activities,74.0,"Other professional, scientific and technical activities"
i74,Other business activities,75.0,Veterinary activities
i74,Other business activities,78.0,Employment activities
i74,Other business activities,81.0,Services to buildings and landscape activities
i74,Other business activities,82.0,"Office administrative, office support and other business support activities"
i74,Other business activities,80.0,Security and investigation activities
i74,Other business activities,87.0,Residential care activities
i75,Public administration and defence; compulsory social security,84.0,Public administration and defence; compulsory social security
i80,Education,85.0,Education
i85,Health and social work,86.0,Human health activities
i85,Health and social work,87.0,Residential care activities
i85,Health and social work,88.0,Social work activities without accommodation
i90.1.a,Incineration of waste: Food,38.21,Treatment and disposal of non-hazardous waste
i90.1.b,Incineration of waste: Paper,38.21,Treatment and disposal of non-hazardous waste
i90.1.c,Incineration of waste: Plastic,38.21,Treatment and disposal of non-hazardous waste
i90.1.d,Incineration of waste: Metals and Inert materials,38.21,Treatment and disposal of non-hazardous waste
i90.1.e,Incineration of waste: Textiles,38.21,Treatment and disposal of non-hazardous waste
i90.1.f,Incineration of waste: Wood,38.21,Treatment and disposal of non-hazardous waste
i90.1.g,Incineration of waste: Oil/Hazardous waste,38.22,Treatment and disposal of hazardous waste
i90.3.a,"Biogasification of food waste, incl. land application",38.21,Treatment and disposal of non-hazardous waste
i90.3.b,"Biogasification of paper, incl. land application",38.21,Treatment and disposal of non-hazardous waste
i90.3.c,"Biogasification of sewage slugde, incl. land application",38.21,Treatment and disposal of non-hazardous waste
i90.4.a,"Composting of food waste, incl. land application",38.21,Treatment and disposal of non-hazardous waste
i90.4.b,"Composting of paper and wood, incl. land application",38.21,Treatment and disposal of non-hazardous waste
i90.5.a,"Waste water treatment, food",36.0,"Water collection, treatment and supply"
i90.5.b,"Waste water treatment, other",36.0,"Water collection, treatment and supply"
i90.6.a,Landfill of waste: Food,38.21,Treatment and disposal of non-hazardous waste
i90.6.b,Landfill of waste: Paper,38.21,Treatment and disposal of non-hazardous waste
i90.6.c,Landfill of waste: Plastic,38.21,Treatment and disposal of non-hazardous waste
i90.6.d,Landfill of waste: Inert/metal/hazardous,38.22,Treatment and disposal of hazardous waste
i90.6.e,Landfill of waste: Textiles,38.21,Treatment and disposal of non-hazardous waste
i90.6.f,Landfill of waste: Wood,38.21,Treatment and disposal of non-hazardous waste
i91,Activities of membership organisation n.e.c.,94.0,Activities of membership organisations
i92,"Recreational, cultural and sporting activities",90.0,"Creative, arts and entertainment activities"
i92,"Recreational, cultural and sporting activities",91.0,"Libraries, archives, museums and other cultural activities"
i92,"Recreational, cultural and sporting activities",92.0,Gambling and betting activities
i92,"Recreational, cultural and sporting activities",93.0,Sports activities and amusement and recreation activities
i93,Other service activities,95.0,Repair of computers and personal and household goods
i93,Other service activities,96.0,Other personal service activities
i93,Other service activities,98.0,Undifferentiated goods- and services-producing activities of private households for own use
i95,Private households with employed persons,97.0,Activities of households as employers of domestic personnel
i99,Extra-territorial organizations and bodies,99.0,Activities of extraterritorial organisations and bodies
