CN2017,,SITC Rev 4
0204 50 53,ex,012.13
0204 50 55,ex,012.13
0204 50 59,ex,012.13
0204 50 71,ex,012.13
0204 50 79,ex,012.13
0205 00 20,ex,012.40
0205 00 80,ex,012.40
0206 10 10,ex,012.51
0206 10 95,ex,012.51
0206 10 98,ex,012.51
0206 21 00,ex,012.52
0206 22 00,ex,012.52
0206 29 10,ex,012.52
0206 29 91,ex,012.52
0206 29 99,ex,012.52
0206 30 00,-,012.53
0206 41 00,ex,012.54
0206 49 00,ex,012.54
0206 80 10,ex,012.55
0206 80 91,ex,012.55
0206 80 99,ex,012.55
0206 90 10,ex,012.56
0206 90 91,ex,012.56
0206 90 99,ex,012.56
0207 11 10,ex,012.31
0207 11 30,ex,012.31
0207 11 90,ex,012.31
0207 12 10,ex,012.32
0207 12 90,ex,012.32
0207 13 10,ex,012.34
0207 13 20,ex,012.34
0207 13 30,ex,012.34
0207 13 40,ex,012.34
0207 13 50,ex,012.34
0207 13 60,ex,012.34
0207 13 70,ex,012.34
0207 13 91,ex,012.34
0207 13 99,ex,012.34
0207 14 10,ex,012.35
0207 14 20,ex,012.35
0207 14 30,ex,012.35
0207 14 40,ex,012.35
0207 14 50,ex,012.35
0207 14 60,ex,012.35
0207 14 70,ex,012.35
0207 14 91,ex,012.35
0207 14 99,ex,012.35
0207 24 10,ex,012.31
0207 24 90,ex,012.31
0207 25 10,ex,012.32
0207 25 90,ex,012.32
0207 26 10,ex,012.34
0207 26 20,ex,012.34
0207 26 30,ex,012.34
0207 26 40,ex,012.34
0207 26 50,ex,012.34
0207 26 60,ex,012.34
0207 26 70,ex,012.34
0207 26 80,ex,012.34
0207 26 91,ex,012.34
0207 26 99,ex,012.34
0207 27 10,ex,012.35
0207 27 20,ex,012.35
0207 27 30,ex,012.35
0207 27 40,ex,012.35
0207 27 50,ex,012.35
0207 27 60,ex,012.35
0207 27 70,ex,012.35
0207 27 80,ex,012.35
0207 27 91,ex,012.35
0207 27 99,ex,012.35
0207 41 20,ex,012.31
0207 41 30,ex,012.31
0207 41 80,ex,012.31
0207 42 30,ex,012.32
0207 42 80,ex,012.32
0207 43 00,ex,012.33
0207 44 10,ex,012.34
0207 44 21,ex,012.34
0207 44 31,ex,012.34
0207 44 41,ex,012.34
0207 44 51,ex,012.34
0207 44 61,ex,012.34
0207 44 71,ex,012.34
0207 44 81,ex,012.34
0207 44 91,ex,012.34
0207 44 99,ex,012.34
0207 45 10,ex,012.35
0207 45 21,ex,012.35
0207 45 31,ex,012.35
0207 45 41,ex,012.35
0207 45 51,ex,012.35
0207 45 61,ex,012.35
0207 45 71,ex,012.35
0207 45 81,ex,012.35
0207 45 93,ex,012.35
0207 45 95,ex,012.35
0207 45 99,ex,012.35
0207 51 10,ex,012.31
0207 51 90,ex,012.31
0207 52 10,ex,012.32
0207 52 90,ex,012.32
0207 53 00,ex,012.33
0207 54 10,ex,012.34
0207 54 21,ex,012.34
0207 54 31,ex,012.34
0207 54 41,ex,012.34
0207 54 51,ex,012.34
0207 54 61,ex,012.34
0207 54 71,ex,012.34
0207 54 81,ex,012.34
0207 54 91,ex,012.34
0207 54 99,ex,012.34
0207 55 10,ex,012.35
0207 55 21,ex,012.35
0207 55 31,ex,012.35
0207 55 41,ex,012.35
0207 55 51,ex,012.35
0207 55 61,ex,012.35
0207 55 71,ex,012.35
0207 55 81,ex,012.35
0207 55 93,ex,012.35
0207 55 95,ex,012.35
0207 55 99,ex,012.35
0207 60 05,ex,012.31
0207 60 10,ex,012.34
0207 60 21,ex,012.34
0207 60 31,ex,012.35
0207 60 41,ex,012.35
0207 60 51,ex,012.34
0207 60 61,ex,012.35
0207 60 81,ex,012.35
0207 60 91,ex,012.35
0207 60 99,ex,012.35
0208 10 10,ex,012.91
0208 10 90,ex,012.91
0208 30 00,ex,012.99
0208 40 10,ex,012.99
0208 40 20,ex,012.99
0208 40 80,ex,012.99
0208 50 00,ex,012.99
0208 60 00,ex,012.99
0208 90 10,ex,012.99
0208 90 30,ex,012.99
0208 90 60,ex,012.99
0208 90 70,ex,012.99
0208 90 98,ex,012.99
0209 10 11,ex,411.31
0209 10 19,ex,411.31
0209 10 90,ex,411.31
0209 90 00,ex,411.31
0210 11 11,ex,016.11
0210 11 19,ex,016.11
0210 11 31,ex,016.11
0210 11 39,ex,016.11
0210 11 90,ex,016.11
0210 12 11,ex,016.12
0210 12 19,ex,016.12
0210 12 90,ex,016.12
0210 19 10,ex,016.19
0210 19 20,ex,016.19
0210 19 30,ex,016.19
0210 19 40,ex,016.19
0210 19 50,ex,016.19
0210 19 60,ex,016.19
0210 19 70,ex,016.19
0210 19 81,ex,016.19
0210 19 89,ex,016.19
0210 19 90,ex,016.19
0210 20 10,ex,016.81
0210 20 90,ex,016.81
0210 91 00,ex,016.89
0210 92 10,ex,016.89
0210 92 91,ex,016.89
0210 92 92,ex,016.89
0210 92 99,ex,016.89
0210 93 00,ex,016.89
0210 99 10,ex,016.89
0210 99 21,ex,016.89
0210 99 29,ex,016.89
0210 99 31,ex,016.89
0210 99 39,ex,016.89
0210 99 41,ex,016.89
0210 99 49,ex,016.89
0210 99 51,ex,016.89
0210 99 59,ex,016.89
0210 99 71,ex,016.89
0210 99 79,ex,016.89
0210 99 85,ex,016.89
0210 99 90,ex,016.89
0301 11 00,ex,034.11
0301 19 00,ex,034.11
0301 91 10,ex,034.11
0301 91 90,ex,034.11
0301 92 10,ex,034.11
0301 92 30,ex,034.11
0301 92 90,ex,034.11
0301 93 00,ex,034.11
0301 94 10,ex,034.11
0301 94 90,ex,034.11
0301 95 00,ex,034.11
0301 99 11,ex,034.11
0301 99 17,ex,034.11
0301 99 85,ex,034.11
0302 11 10,ex,034.12
0302 11 20,ex,034.12
0302 11 80,ex,034.12
0302 13 00,ex,034.12
0302 14 00,ex,034.12
0302 19 00,ex,034.12
0302 21 10,ex,034.13
0302 21 30,ex,034.13
0302 21 90,ex,034.13
0302 22 00,ex,034.13
0302 23 00,ex,034.13
0302 24 00,ex,034.13
0302 29 10,ex,034.13
0302 29 80,ex,034.13
0302 31 10,ex,034.14
0302 31 90,ex,034.14
0302 32 10,ex,034.14
0302 32 90,ex,034.14
0302 33 10,ex,034.14
0302 33 90,ex,034.14
0302 34 10,ex,034.14
0302 34 90,ex,034.14
0302 35 11,ex,034.14
0302 35 19,ex,034.14
0302 35 91,ex,034.14
0302 35 99,ex,034.14
0302 36 10,ex,034.14
0302 36 90,ex,034.14
0302 39 20,ex,034.14
0302 39 80,ex,034.14
0302 41 00,ex,034.15
0302 42 00,ex,034.18
0302 43 10,ex,034.15
0302 43 30,ex,034.15
0302 43 90,ex,034.15
0302 44 00,-,034.17
0302 45 10,ex,034.18
0302 45 30,ex,034.18
0302 45 90,ex,034.18
0302 46 00,ex,034.18
0302 47 00,ex,034.18
0302 49 11,ex,034.18
0302 49 19,ex,034.18
0302 49 90,ex,034.18
0302 51 10,ex,034.16
0302 51 90,ex,034.16
0302 52 00,ex,034.18
0302 53 00,ex,034.18
0302 54 11,ex,034.18
0302 54 15,ex,034.18
0302 54 19,ex,034.18
0302 54 90,ex,034.18
0302 55 00,ex,034.18
0302 56 00,ex,034.18
0302 59 10,ex,034.18
0302 59 20,ex,034.18
0302 59 30,ex,034.18
0302 59 40,ex,034.18
0302 59 90,ex,034.18
0302 71 00,ex,034.18
0302 72 00,ex,034.18
0302 73 00,ex,034.18
0302 74 00,ex,034.18
0302 79 00,ex,034.18
0302 81 15,ex,034.18
0302 81 30,ex,034.18
0302 81 40,ex,034.18
0302 81 80,ex,034.18
0302 82 00,ex,034.18
0302 83 00,ex,034.18
0302 84 10,ex,034.18
0302 84 90,ex,034.18
0302 85 10,ex,034.18
0302 85 30,ex,034.18
0302 85 90,ex,034.18
0302 89 10,ex,034.18
0302 89 21,ex,034.18
0302 89 29,ex,034.18
0302 89 31,ex,034.18
0302 89 39,ex,034.18
0302 89 40,ex,034.18
0302 89 50,ex,034.18
0302 89 60,ex,034.18
0302 89 90,ex,034.18
0302 91 00,-,034.19
0302 92 00,ex,034.18
0302 99 00,ex,034.18
0303 11 00,ex,034.21
0303 12 00,ex,034.21
0303 13 00,ex,034.21
0303 14 10,ex,034.21
0303 14 20,ex,034.21
0303 14 90,ex,034.21
0303 19 00,ex,034.21
0303 23 00,ex,034.28
0303 24 00,ex,034.28
0303 25 00,ex,034.28
0303 26 00,ex,034.28
0303 29 00,ex,034.28
0303 31 10,ex,034.22
0303 31 30,ex,034.22
0303 31 90,ex,034.22
0303 32 00,ex,034.22
0303 33 00,ex,034.22
0303 34 00,ex,034.22
0303 39 10,ex,034.22
0303 39 30,ex,034.22
0303 39 50,ex,034.28
0303 39 85,ex,034.22
0303 41 10,ex,034.23
0303 41 90,ex,034.23
0303 42 20,ex,034.23
0303 42 90,ex,034.23
0303 43 10,ex,034.23
0303 43 90,ex,034.23
0303 44 10,ex,034.23
0303 44 90,ex,034.23
0303 45 12,ex,034.23
0303 45 18,ex,034.23
0303 45 91,ex,034.23
0303 45 99,ex,034.23
0303 46 10,ex,034.23
0303 46 90,ex,034.23
0303 49 20,ex,034.23
0303 49 85,ex,034.23
0303 51 00,ex,034.24
0303 53 10,ex,034.24
0303 53 30,ex,034.24
0303 53 90,ex,034.24
0303 54 10,ex,034.26
0303 54 90,ex,034.26
0303 55 10,ex,034.28
0303 55 30,ex,034.28
0303 55 90,ex,034.28
0303 56 00,ex,034.28
0303 57 00,ex,034.28
0303 59 10,ex,034.28
0303 59 21,ex,034.28
0303 59 29,ex,034.28
0303 59 90,ex,034.28
0303 63 10,ex,034.25
0303 63 30,ex,034.25
0303 63 90,ex,034.25
0303 64 00,ex,034.28
0303 65 00,ex,034.28
0303 66 11,ex,034.27
0303 66 12,ex,034.27
0303 66 13,ex,034.27
0303 66 19,ex,034.27
0303 66 90,ex,034.27
0303 67 00,ex,034.28
0303 68 10,ex,034.28
0303 68 90,ex,034.28
0303 69 10,ex,034.28
0303 69 30,ex,034.28
0303 69 50,ex,034.28
0303 69 70,ex,034.28
0303 69 80,ex,034.28
0303 69 90,ex,034.28
0303 81 15,ex,034.28
0303 81 30,ex,034.28
0303 81 40,ex,034.28
0303 81 90,ex,034.28
0303 82 00,ex,034.28
0303 83 00,ex,034.28
0303 84 10,ex,034.28
0303 84 90,ex,034.28
0303 89 10,ex,034.28
0303 89 21,ex,034.28
0303 89 29,ex,034.28
0303 89 31,ex,034.28
0303 89 39,ex,034.28
0303 89 40,ex,034.28
0303 89 50,ex,034.28
0303 89 55,ex,034.28
0303 89 60,ex,034.28
0303 89 65,ex,034.28
0303 89 70,ex,034.28
0303 89 90,ex,034.28
0303 91 10,ex,034.29
0303 91 90,ex,034.29
0303 92 00,ex,034.28
0303 99 00,ex,034.28
0304 31 00,ex,034.51
0304 32 00,ex,034.51
0304 33 00,ex,034.51
0304 39 00,ex,034.51
0304 41 00,ex,034.51
0304 42 10,ex,034.51
0304 42 50,ex,034.51
0304 42 90,ex,034.51
0304 43 00,ex,034.51
0304 44 10,ex,034.51
0304 44 30,ex,034.51
0304 44 90,ex,034.51
0304 45 00,ex,034.51
0304 46 00,ex,034.51
0304 47 10,ex,034.51
0304 47 20,ex,034.51
0304 47 30,ex,034.51
0304 47 90,ex,034.51
0304 48 00,ex,034.51
0304 49 10,ex,034.51
0304 49 50,ex,034.51
0304 49 90,ex,034.51
0304 51 00,ex,034.51
0304 52 00,ex,034.51
0304 53 00,ex,034.51
0304 54 00,ex,034.51
0304 55 00,ex,034.51
0304 56 10,ex,034.51
0304 56 20,ex,034.51
0304 56 30,ex,034.51
0304 56 90,ex,034.51
0304 57 00,ex,034.51
0304 59 10,ex,034.51
0304 59 50,ex,034.51
0304 59 90,ex,034.51
0304 61 00,ex,034.40
0304 62 00,ex,034.40
0304 63 00,ex,034.40
0304 69 00,ex,034.40
0304 71 10,ex,034.40
0304 71 90,ex,034.40
0304 72 00,ex,034.40
0304 73 00,ex,034.40
0304 74 11,ex,034.40
0304 74 15,ex,034.40
0304 74 19,ex,034.40
0304 74 90,ex,034.40
0304 75 00,ex,034.40
0304 79 10,ex,034.40
0304 79 30,ex,034.40
0304 79 50,ex,034.40
0304 79 80,ex,034.40
0304 79 90,ex,034.40
0304 81 00,ex,034.40
0304 82 10,ex,034.40
0304 82 50,ex,034.40
0304 82 90,ex,034.40
0304 83 10,ex,034.40
0304 83 30,ex,034.40
0304 83 50,ex,034.40
0304 83 90,ex,034.40
0304 84 00,ex,034.40
0304 85 00,ex,034.40
0304 86 00,ex,034.40
0304 87 00,ex,034.40
0304 88 11,ex,034.40
0304 88 15,ex,034.40
0304 88 18,ex,034.40
0304 88 19,ex,034.40
0304 88 90,ex,034.40
0304 89 10,ex,034.40
0304 89 21,ex,034.40
0304 89 29,ex,034.40
0304 89 30,ex,034.40
0304 89 41,ex,034.40
0304 89 49,ex,034.40
0304 89 60,ex,034.40
0304 89 90,ex,034.40
0304 91 00,ex,034.55
0304 92 00,ex,034.55
0304 93 10,ex,034.55
0304 93 90,ex,034.55
0304 94 10,ex,034.55
0304 94 90,ex,034.55
0304 95 10,ex,034.55
0304 95 21,ex,034.55
0304 95 25,ex,034.55
0304 95 29,ex,034.55
0304 95 30,ex,034.55
0304 95 40,ex,034.55
0304 95 50,ex,034.55
0304 95 60,ex,034.55
0304 95 90,ex,034.55
0304 96 10,ex,034.55
0304 96 20,ex,034.55
0304 96 30,ex,034.55
0304 96 90,ex,034.55
0304 97 00,ex,034.55
0304 99 10,ex,034.55
0304 99 21,ex,034.55
0304 99 23,ex,034.55
0304 99 29,ex,034.55
0304 99 55,ex,034.55
0304 99 61,ex,034.55
0304 99 65,ex,034.55
0304 99 99,ex,034.55
0305 10 00,-,035.50
0305 20 00,-,035.40
0305 31 00,ex,035.12
0305 32 11,ex,035.12
0305 32 19,ex,035.12
0305 32 90,ex,035.12
0305 39 10,ex,035.12
0305 39 50,ex,035.12
0305 39 90,ex,035.12
0305 41 00,ex,035.30
0305 42 00,ex,035.30
0305 43 00,ex,035.30
0305 44 10,ex,035.30
0305 44 90,ex,035.30
0305 49 10,ex,035.30
0305 49 20,ex,035.30
0305 49 30,ex,035.30
0305 49 80,ex,035.30
0305 51 10,ex,035.11
0305 51 90,ex,035.11
0305 52 00,ex,035.13
0305 53 10,ex,035.13
0305 53 90,ex,035.13
0305 54 30,ex,035.13
0305 54 50,ex,035.13
0305 54 90,ex,035.13
0305 59 70,ex,035.13
0305 59 85,ex,035.13
0305 61 00,ex,035.29
0305 62 00,-,035.21
0305 63 00,-,035.22
0305 64 00,ex,035.29
0305 69 10,ex,035.29
0305 69 30,ex,035.29
0305 69 50,ex,035.29
0305 69 80,ex,035.29
0305 71 00,ex,035.13
0305 72 00,ex,035.29
0305 79 00,ex,035.29
0306 11 10,ex,036.19
0306 11 90,ex,036.19
0306 12 10,ex,036.19
0306 12 90,ex,036.19
0306 14 10,ex,036.19
0306 14 30,ex,036.19
0306 14 90,ex,036.19
0306 15 00,ex,036.19
0306 16 91,ex,036.11
0306 16 99,ex,036.11
0306 17 91,ex,036.11
0306 17 92,ex,036.11
0306 17 93,ex,036.11
0306 17 94,ex,036.11
0306 17 99,ex,036.11
0306 19 10,ex,036.19
0306 19 90,ex,036.19
0306 31 00,ex,036.20
0306 32 10,ex,036.20
0306 32 91,ex,036.20
0306 32 99,ex,036.20
0306 33 10,ex,036.20
0306 33 90,ex,036.20
0306 34 00,ex,036.20
0306 35 10,ex,036.20
0306 35 50,ex,036.20
0306 35 90,ex,036.20
0306 36 10,ex,036.20
0306 36 50,ex,036.20
0306 36 90,ex,036.20
0306 39 10,ex,036.20
0306 39 90,ex,036.20
0306 91 00,ex,036.20
0306 92 10,ex,036.20
0306 92 90,ex,036.20
0306 93 10,ex,036.20
0306 93 90,ex,036.20
0306 94 00,ex,036.20
0306 95 11,ex,036.20
0306 95 19,ex,036.20
0306 95 20,ex,036.20
0306 95 30,ex,036.20
0306 95 40,ex,036.20
0306 95 90,ex,036.20
0306 99 10,ex,036.20
0306 99 90,ex,036.20
0307 11 10,ex,036.31
0307 11 90,ex,036.31
0307 12 00,ex,036.31
0307 19 00,ex,036.31
0307 21 00,ex,036.35
0307 22 10,ex,036.39
0307 22 90,ex,036.39
0307 29 00,ex,036.39
0307 31 10,ex,036.35
0307 31 90,ex,036.35
0307 32 10,ex,036.39
0307 32 90,ex,036.39
0307 39 20,ex,036.39
0307 39 80,ex,036.39
0307 42 10,ex,036.33
0307 42 20,ex,036.33
0307 42 30,ex,036.33
0307 42 40,ex,036.33
0307 42 90,ex,036.33
0307 43 21,ex,036.37
0307 43 25,ex,036.37
0307 43 29,ex,036.37
0307 43 31,ex,036.37
0307 43 33,ex,036.37
0307 43 35,ex,036.37
0307 43 38,ex,036.37
0307 43 91,ex,036.37
0307 43 92,ex,036.37
0307 43 95,ex,036.37
0307 43 99,ex,036.37
0307 49 20,ex,036.37
0307 49 40,ex,036.37
0307 49 50,ex,036.37
0307 49 60,ex,036.37
0307 49 80,ex,036.37
0307 51 00,ex,036.33
0307 52 00,ex,036.37
0307 59 00,ex,036.37
0307 60 00,-,012.93
0307 71 00,ex,036.35
0307 72 10,ex,036.39
0307 72 90,ex,036.39
0307 79 00,ex,036.39
0307 81 00,ex,036.35
0307 82 00,ex,036.35
0307 83 00,ex,036.39
0307 84 00,ex,036.39
0307 87 00,ex,036.39
0307 88 00,ex,036.39
0307 91 00,ex,036.35
0307 92 00,ex,036.39
0307 99 00,ex,036.39
0308 11 00,ex,036.35
0308 12 00,ex,036.39
0308 19 00,ex,036.39
0308 21 00,ex,036.35
0308 22 00,ex,036.39
0308 29 00,ex,036.39
0308 30 10,ex,036.35
0308 30 50,ex,036.39
0308 30 90,ex,036.39
0308 90 10,ex,036.35
0308 90 50,ex,036.39
0308 90 90,ex,036.39
0401 10 10,ex,022.11
0401 10 90,ex,022.11
0401 20 11,ex,022.12
0401 20 19,ex,022.12
0401 20 91,ex,022.12
0401 20 99,ex,022.12
0401 40 10,ex,022.13
0401 40 90,ex,022.13
0401 50 11,ex,022.13
0401 50 19,ex,022.13
0401 50 31,ex,022.13
0401 50 39,ex,022.13
0401 50 91,ex,022.13
0401 50 99,ex,022.13
0402 10 11,ex,022.21
0402 10 19,ex,022.21
0402 10 91,ex,022.21
0402 10 99,ex,022.21
0402 21 11,ex,022.22
0402 21 18,ex,022.22
0402 21 91,ex,022.22
0402 21 99,ex,022.22
0402 29 11,ex,022.22
0402 29 15,ex,022.22
0402 29 19,ex,022.22
0402 29 91,ex,022.22
0402 29 99,ex,022.22
0402 91 10,ex,022.23
0402 91 30,ex,022.23
0402 91 51,ex,022.23
0402 91 59,ex,022.23
0402 91 91,ex,022.23
0402 91 99,ex,022.23
0402 99 10,ex,022.24
0402 99 31,ex,022.24
0402 99 39,ex,022.24
0402 99 91,ex,022.24
0402 99 99,ex,022.24
0403 10 11,ex,022.31
0403 10 13,ex,022.31
0403 10 19,ex,022.31
0403 10 31,ex,022.31
0403 10 33,ex,022.31
0403 10 39,ex,022.31
0403 10 51,ex,022.31
0403 10 53,ex,022.31
0403 10 59,ex,022.31
0403 10 91,ex,022.31
0403 10 93,ex,022.31
0403 10 99,ex,022.31
0403 90 11,ex,022.32
0403 90 13,ex,022.32
0403 90 19,ex,022.32
0403 90 31,ex,022.32
0403 90 33,ex,022.32
0403 90 39,ex,022.32
0403 90 51,ex,022.32
0403 90 53,ex,022.32
0403 90 59,ex,022.32
0403 90 61,ex,022.32
0403 90 63,ex,022.32
0403 90 69,ex,022.32
0403 90 71,ex,022.32
0403 90 73,ex,022.32
0403 90 79,ex,022.32
0403 90 91,ex,022.32
0403 90 93,ex,022.32
0403 90 99,ex,022.32
0404 10 02,ex,022.41
0404 10 04,ex,022.41
0404 10 06,ex,022.41
0404 10 12,ex,022.41
0404 10 14,ex,022.41
0404 10 16,ex,022.41
0404 10 26,ex,022.41
0404 10 28,ex,022.41
0404 10 32,ex,022.41
0404 10 34,ex,022.41
0404 10 36,ex,022.41
0404 10 38,ex,022.41
0404 10 48,ex,022.41
0404 10 52,ex,022.41
0404 10 54,ex,022.41
0404 10 56,ex,022.41
0404 10 58,ex,022.41
0404 10 62,ex,022.41
0404 10 72,ex,022.41
0404 10 74,ex,022.41
0404 10 76,ex,022.41
0404 10 78,ex,022.41
0404 10 82,ex,022.41
0404 10 84,ex,022.41
0404 90 21,ex,022.49
0404 90 23,ex,022.49
0404 90 29,ex,022.49
0404 90 81,ex,022.49
0404 90 83,ex,022.49
0404 90 89,ex,022.49
0405 10 11,ex,023.00
0405 10 19,ex,023.00
0405 10 30,ex,023.00
0405 10 50,ex,023.00
0405 10 90,ex,023.00
0405 20 10,ex,023.00
0405 20 30,ex,023.00
0405 20 90,ex,023.00
0405 90 10,ex,023.00
0405 90 90,ex,023.00
0406 10 30,ex,024.91
0406 10 50,ex,024.91
0406 10 80,ex,024.91
0406 20 00,-,024.10
0406 30 10,ex,024.20
0406 30 31,ex,024.20
0406 30 39,ex,024.20
0406 30 90,ex,024.20
0406 40 10,ex,024.30
0406 40 50,ex,024.30
0406 40 90,ex,024.30
0406 90 01,ex,024.99
0406 90 13,ex,024.99
0406 90 15,ex,024.99
0406 90 17,ex,024.99
0406 90 18,ex,024.99
0406 90 21,ex,024.99
0406 90 23,ex,024.99
0406 90 25,ex,024.99
0406 90 29,ex,024.99
0406 90 32,ex,024.99
0406 90 35,ex,024.99
0406 90 37,ex,024.99
0406 90 39,ex,024.99
0406 90 50,ex,024.99
0406 90 61,ex,024.99
0406 90 63,ex,024.99
0406 90 69,ex,024.99
0406 90 73,ex,024.99
0406 90 74,ex,024.99
0406 90 75,ex,024.99
0406 90 76,ex,024.99
0406 90 78,ex,024.99
0406 90 79,ex,024.99
0406 90 81,ex,024.99
0406 90 82,ex,024.99
0406 90 84,ex,024.99
0406 90 85,ex,024.99
0406 90 86,ex,024.99
0406 90 89,ex,024.99
0406 90 92,ex,024.99
0406 90 93,ex,024.99
0406 90 99,ex,024.99
0407 11 00,ex,025.10
0407 19 11,ex,025.10
0407 19 19,ex,025.10
0407 19 90,ex,025.10
0407 21 00,ex,025.10
0407 29 10,ex,025.10
0407 29 90,ex,025.10
0407 90 10,ex,025.10
0407 90 90,ex,025.10
0408 11 20,ex,025.21
0408 11 80,ex,025.21
0408 19 20,ex,025.22
0408 19 81,ex,025.22
0408 19 89,ex,025.22
0408 91 20,ex,025.21
0408 91 80,ex,025.21
0408 99 20,ex,025.22
0408 99 80,ex,025.22
0409 00 00,-,061.60
0410 00 00,-,098.92
0501 00 00,-,291.91
0502 10 00,ex,291.92
0502 90 00,ex,291.92
0504 00 00,-,291.93
0505 10 10,ex,291.95
0505 10 90,ex,291.95
0505 90 00,ex,291.95
0506 10 00,ex,291.11
0506 90 00,ex,291.11
0507 10 00,ex,291.16
0507 90 00,ex,291.16
0508 00 00,-,291.15
0510 00 00,-,291.98
0511 10 00,-,291.94
0511 91 10,ex,291.96
0511 91 90,ex,291.96
0511 99 10,ex,291.99
0511 99 31,ex,291.99
0511 99 39,ex,291.99
0511 99 85,ex,291.99
0601 10 10,ex,292.61
0601 10 20,ex,292.61
0601 10 30,ex,292.61
0601 10 40,ex,292.61
0601 10 90,ex,292.61
0601 20 10,ex,292.61
0601 20 30,ex,292.61
0601 20 90,ex,292.61
0602 10 10,ex,292.69
0602 10 90,ex,292.69
0602 20 10,ex,292.69
0602 20 20,ex,292.69
0602 20 30,ex,292.69
0602 20 80,ex,292.69
0602 30 00,ex,292.69
0602 40 00,ex,292.69
0602 90 10,ex,292.69
0602 90 20,ex,292.69
0602 90 30,ex,292.69
0602 90 41,ex,292.69
0602 90 45,ex,292.69
0602 90 46,ex,292.69
0602 90 47,ex,292.69
0602 90 48,ex,292.69
0602 90 50,ex,292.69
0602 90 70,ex,292.69
0602 90 91,ex,292.69
0602 90 99,ex,292.69
0603 11 00,ex,292.71
0603 12 00,ex,292.71
0603 13 00,ex,292.71
0603 14 00,ex,292.71
0603 15 00,ex,292.71
0603 19 10,ex,292.71
0603 19 20,ex,292.71
0603 19 70,ex,292.71
0603 90 00,ex,292.71
0604 20 11,ex,292.72
0604 20 19,ex,292.72
0604 20 20,ex,292.72
0604 20 40,ex,292.72
0604 20 90,ex,292.72
0604 90 11,ex,292.72
