HS 2007,CPA 2008
2529.21,08.91.19
2529.22,08.91.19
2529.3,08.99.29
2530.1,08.99.29
2530.2,08.91.19
2530.9,08.91.19
2601.11,07.10.10
2601.12,07.10.10
2601.2,20.13.67
2602,07.29.19
2603,07.29.11
2604,07.29.12
2605,07.29.19
2606,07.29.13
2607,07.29.15
2608,07.29.15
2609,07.29.15
2610,07.29.19
2611,07.29.19
2612.1,07.21.10
2612.2,07.21.10
2613.1,07.29.19
2613.9,07.29.19
2614,07.29.19
2615.1,07.29.19
2615.9,07.29.19
2616.1,07.29.14
2616.9,07.29.14
2617.1,07.29.19
2617.9,07.29.19
2618,38.11.58
2619,38.11.58
2620.11,38.11.58
2620.19,38.11.58
2620.21,38.11.58
2620.29,38.11.58
2620.3,38.11.58
2620.4,38.11.58
2620.6,38.11.58
2620.91,38.11.58
2620.99,38.11.58
2621.1,38.21.40
2621.9,08.99.29
2701.11,05.10.10
2701.12,05.10.10
2701.19,05.10.10
2701.2,19.20.11
2702.1,05.20.10
2702.2,19.20.12
2703,08.92.10
2704,19.10.10
2705,35.21.10
2706,19.10.20
2707.1,20.14.73
2707.2,20.14.73
2707.3,20.14.73
2707.4,20.14.73
2707.5,20.14.73
2707.91,20.14.73
2707.99,20.14.73
2708.1,19.10.30
2708.2,19.10.30
2709,06.10.10
2710.11,19.20.21
2710.11,19.20.22
2710.11,19.20.23
2710.19,19.20.24
2710.19,19.20.25
2710.19,19.20.26
2710.19,19.20.27
2710.19,19.20.28
2710.19,19.20.29
2710.91,38.12.25
2710.99,38.12.25
2711.11,06.20.10
2711.12,19.20.31
2711.13,19.20.31
2711.14,19.20.32
2711.19,19.20.32
2711.21,06.20.10
2711.29,19.20.32
2712.1,19.20.41
2712.2,19.20.41
2712.9,19.20.41
2713.11,19.20.42
2713.12,19.20.42
2713.2,19.20.42
2713.9,19.20.42
2714.1,06.10.20
2714.9,08.99.10
2715,23.99.13
2716,35.11.10
2801.1,20.13.21
2801.2,20.13.21
2801.3,20.13.21
2802,20.13.21
2803,20.13.21
2804.1,20.11.11
2804.21,20.11.11
2804.29,20.11.11
2804.3,20.11.11
2804.4,20.11.11
2804.5,20.13.21
2804.61,20.13.21
2804.69,20.13.21
2804.7,20.13.21
2804.8,20.13.21
2804.9,20.13.21
2805.11,20.13.23
2805.12,20.13.23
2805.19,20.13.23
2805.3,20.13.23
2805.4,20.13.23
2806.1,20.13.24
2806.2,20.13.24
2807,20.13.24
2808,20.15.10
2809.1,20.13.24
2809.2,20.13.24
2810,20.13.24
2811.11,20.13.24
2811.19,20.13.24
2811.21,20.11.12
2811.22,20.13.24
2811.29,20.11.12
2811.29,20.13.24
2812.1,20.13.22
2812.9,20.13.22
2813.1,20.13.22
2813.9,20.13.22
2814.1,20.15.10
2814.2,20.15.10
2815.11,20.13.25
2815.12,20.13.25
2815.2,20.13.25
2815.3,20.13.25
2816.1,20.13.25
2816.4,20.13.25
2817,20.12.11
2818.1,23.99.15
2818.2,24.42.12
2818.3,20.13.25
2819.1,20.12.12
2819.9,20.12.12
2820.1,20.12.12
2820.9,20.12.12
2821.1,20.12.19
2821.2,20.12.19
2822,20.12.19
2823,20.12.11
2824.1,20.12.12
2824.9,20.12.12
2825.1,20.13.25
2825.2,20.12.19
2825.3,20.12.19
2825.4,20.12.19
2825.5,20.12.12
2825.6,20.12.19
2825.7,20.12.19
2825.8,20.12.19
2825.9,20.12.19
2826.12,20.13.31
2826.19,20.13.31
2826.3,20.13.31
2826.9,20.13.31
2827.1,20.15.20
2827.2,20.13.31
2827.31,20.13.31
2827.32,20.13.31
2827.35,20.13.31
2827.39,20.13.31
2827.41,20.13.31
2827.49,20.13.31
2827.51,20.13.31
2827.59,20.13.31
2827.6,20.13.31
2828.1,20.13.32
2828.9,20.13.32
2829.11,20.13.32
2829.19,20.13.32
2829.9,20.13.32
2830.1,20.13.41
2830.9,20.13.41
2831.1,20.13.41
2831.9,20.13.41
2832.1,20.13.41
2832.2,20.13.41
2832.3,20.13.41
2833.11,20.13.41
2833.19,20.13.41
2833.21,20.13.41
2833.22,20.13.41
2833.24,20.13.41
2833.25,20.13.41
2833.27,20.13.41
2833.29,20.13.41
2833.3,20.13.41
2833.4,20.13.41
2834.1,20.15.20
2834.21,20.15.76
2834.29,20.13.42
2835.1,20.13.42
2835.22,20.13.42
2835.24,20.13.42
2835.25,20.13.42
2835.26,20.13.42
2835.29,20.13.42
2835.31,20.13.42
2835.39,20.13.42
2836.2,20.13.43
2836.3,20.13.43
2836.4,20.13.43
2836.5,20.13.43
2836.6,20.13.43
2836.91,20.13.43
2836.92,20.13.43
2836.99,20.13.43
2837.11,20.13.62
2837.19,20.13.62
2837.2,20.13.62
2839.11,20.13.62
2839.19,20.13.62
2839.9,20.13.62
2840.11,20.13.62
2840.19,20.13.62
2840.2,20.13.62
2840.3,20.13.62
2841.3,20.13.51
2841.5,20.13.51
2841.61,20.13.51
2841.69,20.13.51
2841.7,20.13.51
2841.8,20.13.51
2841.9,20.13.51
2842.1,20.13.62
2842.9,20.13.62
2843.1,20.13.51
2843.21,20.13.51
2843.29,20.13.51
2843.3,20.13.51
2843.9,20.13.51
2844.1,24.46.10
2844.2,20.13.11
2844.3,20.13.12
2844.4,20.13.13
2844.5,38.12.21
2845.1,20.13.61
2845.9,20.13.61
2846.1,20.13.65
2846.9,20.13.65
2847,20.13.63
2848,20.13.64
2849.1,20.13.64
2849.2,20.13.64
2849.9,20.13.64
2850,20.13.64
2852,20.13.52
2853,20.11.13
2853,20.13.52
2901.1,20.14.11
2901.21,20.14.11
2901.22,20.14.11
2901.23,20.14.11
2901.24,20.14.11
2901.29,20.14.11
2902.11,20.14.12
2902.19,20.14.12
2902.2,20.14.12
2902.3,20.14.12
2902.41,20.14.12
2902.42,20.14.12
2902.43,20.14.12
2902.44,20.14.12
2902.5,20.14.12
2902.6,20.14.12
2902.7,20.14.12
2902.9,20.14.12
2903.11,20.14.13
2903.12,20.14.13
2903.13,20.14.13
2903.14,20.14.13
2903.15,20.14.13
2903.19,20.14.13
2903.21,20.14.13
2903.22,20.14.13
2903.23,20.14.13
2903.29,20.14.13
2903.31,20.14.19
2903.39,20.14.19
2903.41,20.14.19
2903.42,20.14.19
2903.43,20.14.19
2903.44,20.14.19
2903.45,20.14.19
2903.46,20.14.19
2903.47,20.14.19
2903.49,20.14.19
2903.51,20.14.19
2903.52,20.14.19
2903.59,20.14.19
2903.61,20.14.19
2903.62,20.14.19
2903.69,20.14.19
2904.1,20.14.14
2904.2,20.14.14
2904.9,20.14.14
2905.11,20.14.22
2905.12,20.14.22
2905.13,20.14.22
2905.14,20.14.22
2905.16,20.14.22
2905.17,20.14.22
2905.19,20.14.22
2905.22,20.14.22
2905.29,20.14.22
2905.31,20.14.23
2905.32,20.14.23
2905.39,20.14.23
2905.41,20.14.23
2905.42,20.14.23
2905.43,20.14.23
2905.44,20.14.23
2905.45,20.14.23
2905.49,20.14.23
2905.51,20.14.23
2905.59,20.14.23
2906.11,20.14.23
2906.12,20.14.23
2906.13,20.14.23
2906.19,20.14.23
2906.21,20.14.23
2906.29,20.14.23
2907.11,20.14.24
2907.12,20.14.24
2907.13,20.14.24
2907.15,20.14.24
2907.19,20.14.24
2907.21,20.14.24
2907.22,20.14.24
2907.23,20.14.24
2907.29,20.14.24
2908.11,20.14.24
2908.91,20.14.24
2908.99,20.14.24
2909.11,20.14.63
2909.19,20.14.63
2909.2,20.14.63
2909.3,20.14.63
2909.41,20.14.63
2909.43,20.14.63
2909.44,20.14.63
2909.49,20.14.63
2909.5,20.14.63
2909.6,20.14.63
2910.1,20.14.63
2910.2,20.14.63
2910.3,20.14.63
2910.4,20.14.63
2910.9,20.14.63
2911,20.14.63
2912.11,20.14.61
2912.12,20.14.61
2912.19,20.14.61
2912.21,20.14.61
2912.29,20.14.61
2912.3,20.14.61
2912.41,20.14.61
2912.42,20.14.61
2912.49,20.14.61
2912.5,20.14.61
2912.6,20.14.61
2913,20.14.61
2914.11,20.14.62
2914.12,20.14.62
2914.13,20.14.62
2914.19,20.14.62
2914.21,20.14.62
2914.22,20.14.62
2914.23,20.14.62
2914.29,20.14.62
2914.31,20.14.62
2914.39,20.14.62
2914.4,20.14.62
2914.5,20.14.62
2914.61,20.14.62
2914.69,20.14.62
2914.7,20.14.62
2915.11,20.14.32
2915.12,20.14.32
2915.13,20.14.32
2915.21,20.14.32
2915.24,20.14.32
2915.29,20.14.32
2915.31,20.14.32
2915.32,20.14.32
2915.33,20.14.32
2915.36,20.14.32
2915.39,20.14.32
2915.4,20.14.32
2915.5,20.14.32
2915.6,20.14.32
2915.7,20.14.32
2915.9,20.14.32
2916.11,20.14.33
2916.12,20.14.33
2916.13,20.14.33
2916.14,20.14.33
2916.15,20.14.33
2916.19,20.14.33
2916.2,20.14.33
2916.31,20.14.33
2916.32,20.14.33
2916.34,20.14.33
2916.35,20.14.33
2916.39,20.14.33
2917.11,20.14.33
2917.12,20.14.33
2917.13,20.14.33
2917.14,20.14.33
2917.19,20.14.33
2917.2,20.14.33
2917.32,20.14.34
2917.33,20.14.34
2917.34,20.14.34
2917.35,20.14.34
2917.36,20.14.34
2917.37,20.14.34
2917.39,20.14.34
2918.11,20.14.34
2918.12,20.14.34
2918.13,20.14.34
2918.14,20.14.34
2918.15,20.14.34
2918.16,20.14.34
2918.18,20.14.34
2918.19,20.14.34
2918.21,21.10.10
2918.22,21.10.10
2918.23,21.10.10
2918.29,20.14.34
2918.3,20.14.34
2918.91,20.14.34
2918.99,20.14.34
2919.1,20.14.53
2919.9,20.14.53
2920.11,20.14.53
2920.19,20.14.53
2920.9,20.14.53
2921.11,20.14.41
2921.19,20.14.41
2921.21,20.14.41
2921.22,20.14.41
2921.29,20.14.41
2921.3,20.14.41
2921.41,20.14.41
2921.42,20.14.41
2921.43,20.14.41
2921.44,20.14.41
2921.45,20.14.41
2921.46,20.14.41
2921.49,20.14.41
2921.51,20.14.41
2921.59,20.14.41
2922.11,20.14.42
2922.12,20.14.42
2922.13,20.14.42
2922.14,20.14.42
2922.19,20.14.42
2922.21,20.14.42
2922.29,20.14.42
2922.31,20.14.42
2922.39,20.14.42
2922.41,21.10.20
2922.42,21.10.20
2922.43,20.14.42
2922.44,20.14.42
2922.49,20.14.42
2922.5,20.14.42
2923.1,21.10.20
2923.2,21.10.20
2923.9,21.10.20
2924.11,21.10.20
2924.12,21.10.20
2924.19,21.10.20
2924.21,20.14.43
2924.23,21.10.20
2924.24,21.10.20
2924.29,21.10.20
2925.11,20.14.43
2925.12,20.14.43
2925.19,20.14.43
2925.21,20.14.43
2925.29,20.14.43
2926.1,20.14.43
2926.2,20.14.43
2926.3,20.14.43
2926.9,20.14.43
2927,20.14.44
2928,20.14.44
2929.1,20.14.44
2929.9,20.14.44
2930.2,20.14.51
2930.3,20.14.51
2930.4,20.14.51
2930.5,20.14.51
2930.9,20.14.51
2931,20.14.51
2932.11,20.14.52
2932.12,20.14.52
2932.13,20.14.52
2932.19,20.14.52
2932.21,20.14.52
2932.29,21.10.31
2932.91,20.14.52
2932.92,20.14.52
2932.93,20.14.52
2932.94,20.14.52
2932.95,20.14.52
2932.99,20.14.52
2933.11,21.10.31
2933.19,21.10.31
2933.21,21.10.31
2933.29,20.14.52
2933.31,20.14.52
2933.32,20.14.52
2933.33,20.14.52
2933.39,20.14.52
2933.41,20.14.52
2933.49,20.14.52
2933.52,21.10.31
