Activity name,Activity code 1,Activity code 2
Production of electricity nec,i40.11.l,A_POWZ
Transmission of electricity,i40.12,A_POWT
Distribution and trade of electricity,i40.13,A_POWD
Manufacture of gas;,i40.2.a,A_MGWG
Distribution of gaseous fuels through mains,i40.2.b,A_GASD
Steam and hot water supply,i40.3,A_HWAT
"Collection, purification and distribution of water (41)",i41,A_WATR
Construction (45),i45,A_CONS
Re-processing of secondary construction material into aggregates,i45.w,A_CONW
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",i50.a,A_TDMO
Retail sale of automotive fuel,i50.b,A_TDFU
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",i51,A_TDWH
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",i52,A_TDRT
Hotels and restaurants (55),i55,A_HORE
Transport via railways,i60.1,A_TRAI
Other land transport,i60.2,A_TLND
Transport via pipelines,i60.3,A_TPIP
Sea and coastal water transport,i61.1,A_TWAS
Inland water transport,i61.2,A_TWAI
Air transport (62),i62,A_TAIR
Supporting and auxiliary transport activities; activities of travel agencies (63),i63,A_TAUX
Post and telecommunications (64),i64,A_PTEL
"Financial intermediation, except insurance and pension funding (65)",i65,A_FINT
"Insurance and pension funding, except compulsory social security (66)",i66,A_FINS
Activities auxiliary to financial intermediation (67),i67,A_FAUX
Real estate activities (70),i70,A_REAL
Renting of machinery and equipment without operator and of personal and household goods (71),i71,A_MARE
Computer and related activities (72),i72,A_COMP
Research and development (73),i73,A_RESD
Other business activities (74),i74,A_OBUS
Public administration and defence; compulsory social security (75),i75,A_PADF
Education (80),i80,A_EDUC
Health and social work (85),i85,A_HEAL
Incineration of waste: Food,i90.1.a,A_INCF
Incineration of waste: Paper,i90.1.b,A_INCP
Incineration of waste: Plastic,i90.1.c,A_INCL
Incineration of waste: Metals and Inert materials,i90.1.d,A_INCM
Incineration of waste: Textiles,i90.1.e,A_INCT
Incineration of waste: Wood,i90.1.f,A_INCW
Incineration of waste: Oil/Hazardous waste,i90.1.g,A_INCO
"Biogasification of food waste, incl. land application",i90.2.a,A_BIOF
"Biogasification of paper, incl. land application",i90.2.b,A_BIOP
"Biogasification of sewage slugde, incl. land application",i90.2.c,A_BIOS
"Composting of food waste, incl. land application",i90.3.a,A_COMF
"Composting of paper and wood, incl. land application",i90.3.b,A_COMW
"Waste water treatment, food",i90.4.a,A_WASF
"Waste water treatment, other",i90.4.b,A_WASO
Landfill of waste: Food,i90.5.a,A_LANF
Landfill of waste: Paper,i90.5.b,A_LANP
Landfill of waste: Plastic,i90.5.c,A_LANL
Landfill of waste: Inert/metal/hazardous,i90.5.d,A_LANI
Landfill of waste: Textiles,i90.5.e,A_LANT
Landfill of waste: Wood,i90.5.f,A_LANW
Activities of membership organisation n.e.c. (91),i91,A_ORGA
"Recreational, cultural and sporting activities (92)",i92,A_RECR
Other service activities (93),i93,A_OSER
Private households with employed persons (95),i95,A_PRHH
Extra-territorial organizations and bodies,i99,A_EXTO
