CPA 2008,CPC v2
10.11.32,21133
10.11.33,21135
10.11.34,21136
10.11.35,21138
10.11.39,21114
10.11.39,21117
10.11.39,21119
10.11.39,21134
10.11.39,21137
10.11.39,21190
10.11.39,21151
10.11.39,21152
10.11.39,21153
10.11.39,21155
10.11.39,21156
10.11.39,21159
10.11.39,21139
10.11.41,2942
10.11.42,2951
10.11.43,2952
10.11.44,2953
10.11.45,2954
10.11.50,21523
10.11.50,21519
10.11.50,21511
10.11.50,21512
10.11.50,21513
10.11.50,21514
10.11.50,21515
10.11.50,21521
10.11.60,39110
10.11.60,21151
10.11.60,21152
10.11.60,21153
10.11.60,21155
10.11.60,21156
10.11.99,88110
10.12.10,21121
10.12.10,21124
10.12.10,21122
10.12.10,21123
10.12.10,21125
10.12.20,21141
10.12.20,21144
10.12.20,21143
10.12.20,21142
10.12.20,21145
10.12.30,21511
10.12.30,21522
10.12.40,21160
10.12.50,39110
10.12.99,88110
10.13.11,21171
10.13.12,21172
10.13.13,21173
10.13.14,21174
10.13.15,21179
10.13.16,21180
10.13.91,88110
10.13.99,88110
10.20.11,21221
10.20.12,21225
10.20.13,21210
10.20.14,21222
10.20.15,21223
10.20.16,21226
10.20.21,21224
10.20.22,21233
10.20.22,21227
10.20.23,21231
10.20.24,21232
10.20.25,21242
10.20.26,21243
10.20.31,21250
10.20.32,21261
10.20.33,21269
10.20.34,21270
10.20.34,21280
10.20.41,21291
10.20.42,21299
10.20.91,88120
10.20.99,88120
10.31.11,21313
10.31.12,21393
10.31.13,21392
10.31.14,21394
10.31.91,88130
10.31.99,88130
10.32.11,21321
10.32.12,21431
10.32.13,21432
10.32.14,21433
10.32.15,21434
10.32.16,21435
10.32.17,21329
10.32.19,21439
10.32.19,21329
10.32.99,88130
10.39.11,21311
10.39.11,21312
10.39.11,21319
10.39.12,21330
10.39.13,21393
10.39.15,21395
10.39.16,21396
10.39.17,21391
10.39.17,21397
10.39.17,21399
10.39.18,21340
10.39.21,21493
10.39.22,21494
10.39.23,21495
10.39.24,21496
10.39.25,21491
10.39.25,21492
10.39.25,21419
10.39.25,21412
10.39.25,21411
10.39.30,39120
10.39.91,88130
10.39.99,88130
10.41.11,21529
10.41.12,21524
10.41.12,21525
10.41.12,21526
10.41.19,21519
10.41.19,21529
10.41.21,21531
10.41.22,21532
10.41.23,21537
10.41.24,21533
10.41.25,21538
10.41.26,21534
10.41.27,21535
10.41.28,21536
10.41.29,21539
10.41.30,21600
10.41.41,21710
10.41.42,21720
10.41.51,21541
10.41.52,21542
10.41.53,21547
10.41.54,21543
10.41.55,21548
10.41.56,21544
10.41.57,21545
10.41.58,21546
10.41.59,21549
10.41.60,21590
10.41.71,21731
10.41.72,21732
10.41.99,88140
10.42.10,21550
10.42.99,88140
10.51.11,22110
10.51.12,22120
10.51.21,22212
10.51.22,22211
10.51.30,22249
10.51.30,22241
10.51.30,22242
10.51.40,22252
10.51.40,22251
10.51.40,22259
10.51.40,22253
10.51.40,22254
10.51.51,22229
10.51.51,22221
10.51.51,22222
10.51.52,22230
10.51.53,22260
10.51.54,23210
10.51.55,22130
10.51.56,22219
10.51.56,22290
10.51.99,88150
10.52.10,22270
10.52.99,88150
10.61.11,23162
10.61.12,23161
10.61.21,23110
10.61.22,23120
10.61.23,23170
10.61.24,23180
10.61.31,23130
10.61.32,23130
10.61.33,23140
10.61.40,39120
10.61.99,88161
10.62.11,23220
10.62.12,23230
10.62.13,23210
10.62.14,21539
10.62.14,21549
10.62.20,39130
10.62.99,88162
10.71.11,23490
10.71.12,23430
10.71.99,88163
10.72.11,23410
10.72.12,23420
10.72.19,23430
10.72.19,23490
10.72.99,88163
10.73.11,23710
10.73.12,23721
10.73.99,88166
10.81.11,23511
10.81.11,23512
10.81.12,23520
10.81.13,23530
10.81.14,23540
10.81.20,39140
10.81.99,88164
10.82.11,23610
10.82.12,23620
10.82.13,23630
10.82.14,23640
10.82.21,23650
10.82.22,23660
10.82.23,23670
10.82.24,21499
10.82.30,39150
10.82.99,88165
10.83.11,23911
10.83.12,23912
10.83.13,23913
10.83.14,23914
10.83.15,1930
10.83.99,88169
10.84.11,23994
10.84.12,23995
10.84.21,23921
10.84.22,23922
10.84.23,23923
10.84.23,23924
10.84.23,23926
10.84.23,23927
10.84.23,23928
10.84.23,23925
10.84.30,16200
10.84.99,88169
10.85.11,21176
10.85.12,21242
10.85.12,21241
10.85.13,21391
10.85.14,23721
10.85.14,23722
10.85.19,23997
10.85.99,88167
10.86.10,23991
10.86.99,88169
10.89.11,23992
10.89.12,22300
10.89.12,23993
10.89.13,23996
10.89.14,21175
10.89.15,23999
10.89.19,23210
10.89.19,23999
10.89.99,88169
10.91.10,23319
10.91.20,23320
10.91.99,88170
10.92.10,23311
10.92.99,88170
11.01.10,24131
11.01.10,24139
11.01.99,88181
11.02.11,24211
11.02.12,24212
11.02.20,39170
11.02.99,88182
11.03.10,24230
11.03.99,88182
11.04.10,24220
11.04.99,88182
11.05.10,24310
11.05.20,39160
11.05.99,88183
11.06.10,24320
11.06.99,88183
11.07.11,24410
11.07.19,24490
11.07.99,88184
12.00.11,25020
12.00.19,25090
12.00.20,39180
12.00.99,88190
13.10.10,21519
13.10.21,26110
13.10.22,26130
13.10.23,26140
13.10.24,26150
13.10.25,26160
13.10.26,26170
13.10.29,26190
13.10.31,26210
13.10.32,26220
13.10.40,26310
13.10.50,26320
13.10.50,26330
13.10.50,26340
13.10.61,26360
13.10.61,26370
13.10.62,26350
13.10.71,26380
13.10.72,26380
13.10.81,26420
13.10.82,26430
13.10.83,26440
13.10.84,26450
13.10.84,26460
13.10.85,26410
13.10.91,39213
13.10.92,39215
13.10.93,88211
13.10.99,88211
13.20.11,26510
13.20.12,26530
13.20.12,26520
13.20.12,26540
13.20.12,26550
13.20.13,26560
13.20.14,26570
13.20.19,26590
13.20.20,26620
13.20.20,26690
13.20.20,26630
13.20.20,26610
13.20.31,26710
13.20.31,26720
13.20.31,26730
13.20.32,26760
13.20.32,26740
13.20.32,26770
13.20.32,26790
13.20.33,26750
13.20.33,26760
13.20.33,26770
13.20.33,26790
13.20.41,26810
13.20.41,26830
13.20.41,26820
13.20.42,26840
13.20.43,26850
13.20.44,26860
13.20.45,26880
13.20.46,26890
13.20.50,28330
13.20.99,88212
13.30.11,88213
13.30.12,88213
13.30.13,88213
13.30.14,88213
13.30.19,88213
13.91.11,28110
13.91.19,28330
13.91.19,28190
13.91.99,88214
13.92.11,27110
13.92.12,27120
13.92.13,27120
13.92.14,27120
13.92.15,27130
13.92.16,27140
13.92.21,27150
13.92.22,27160
13.92.23,27170
13.92.24,27180
13.92.29,27190
13.92.99,88215
13.93.11,27210
13.93.12,27220
13.93.13,27230
13.93.19,27290
13.93.99,88216
13.94.11,27310
13.94.12,27320
13.94.20,39218
13.94.99,88217
13.95.10,27922
13.95.99,88219
13.96.11,27993
13.96.12,27994
13.96.13,27992
13.96.14,27997
13.96.15,27996
13.96.16,27998
13.96.17,27911
13.96.99,88219
13.99.11,27912
13.99.12,27913
13.99.13,27921
13.99.14,27991
13.99.15,27995
13.99.16,27999
13.99.19,38994
13.99.99,88219
14.11.10,28241
14.11.99,88221
14.12.11,28231
14.12.12,28231
14.12.21,28233
14.12.22,28233
14.12.30,28236
14.12.99,88221
14.13.11,28221
14.13.12,28221
14.13.13,28223
14.13.14,28223
14.13.21,28231
14.13.22,28231
14.13.23,28231
14.13.24,28231
14.13.31,28233
14.13.32,28233
14.13.33,28233
14.13.34,28233
14.13.35,28233
14.13.40,39217
14.13.99,88221
14.14.11,28222
14.14.12,28222
14.14.13,28224
14.14.14,28224
14.14.21,28232
14.14.22,28232
14.14.23,28234
14.14.24,28234
14.14.25,28237
14.14.30,28225
14.14.99,88221
14.19.11,28227
14.19.12,28228
14.19.13,28229
14.19.19,28229
14.19.21,28235
14.19.22,28236
14.19.23,28238
14.19.31,28242
14.19.32,28250
14.19.41,28261
14.19.42,28262
14.19.43,28269
14.19.99,88221
14.20.10,28320
14.20.99,88222
14.31.10,28210
14.31.99,88223
14.39.10,28226
14.39.99,88223
15.11.10,28310
15.11.21,29110
15.11.22,29110
15.11.31,29120
15.11.32,29120
15.11.33,29120
15.11.41,29130
15.11.42,29130
15.11.43,29130
15.11.51,29130
15.11.52,29130
15.11.99,88231
15.12.11,29210
15.12.12,29220
15.12.13,29230
15.12.19,29290
15.12.99,88232
15.20.11,29310
15.20.12,29320
15.20.13,29330
15.20.14,29340
15.20.21,29420
15.20.29,29490
15.20.31,29510
15.20.32,29520
15.20.40,29600
15.20.99,88233
16.10.10,31100
16.10.21,31210
16.10.22,31220
16.10.23,31230
16.10.31,31330
16.10.31,31310
16.10.32,31320
16.10.39,31330
16.10.91,88311
16.10.99,88311
16.21.11,31450
16.21.12,31410
16.21.12,31420
16.21.13,31430
16.21.14,31440
16.21.21,31510
16.21.22,31520
16.21.91,88312
16.21.99,88312
16.22.10,31600
16.22.99,88313
16.23.11,31600
16.23.12,31600
16.23.19,31600
16.23.20,38701
16.23.99,88313
16.24.11,31700
16.24.12,31700
16.24.13,31700
16.24.99,88314
16.29.11,31911
16.29.12,31912
16.29.13,31913
16.29.14,29600
16.29.14,31914
16.29.14,38922
16.29.21,31921
16.29.22,31922
16.29.23,31922
16.29.24,31922
16.29.25,31923
16.29.91,88319
16.29.99,88319
17.11.11,32111
17.11.12,32112
17.11.13,32112
17.11.14,32113
17.11.99,88321
17.12.11,32121
17.12.12,32122
17.12.13,32129
17.12.14,32129
17.12.20,32131
17.12.31,32132
17.12.32,32132
17.12.33,32134
17.12.34,32134
17.12.35,32135
17.12.41,32133
17.12.42,32136
17.12.43,32136
17.12.44,32136
17.12.51,32133
17.12.59,32133
17.12.60,32137
17.12.71,32141
17.12.72,32142
17.12.73,32143
17.12.74,32143
17.12.75,32143
17.12.76,32149
17.12.77,32149
17.12.78,32143
17.12.79,32143
17.12.99,88321
17.21.11,32151
17.21.12,32152
17.21.13,32153
17.21.14,32153
17.21.15,32153
17.21.99,88322
17.22.11,32193
17.22.12,32193
17.22.12,27991
17.22.13,32199
17.22.99,88329
17.23.11,32191
17.23.12,32192
17.23.13,32700
17.23.14,32199
17.23.99,88329
17.24.11,32194
17.24.12,32195
17.24.99,88329
17.29.11,32197
17.29.12,32198
17.29.19,32199
17.29.99,88329
18.11.10,89121
18.12.11,89121
18.12.12,89121
18.12.13,89121
18.12.14,89121
18.12.15,89121
18.12.16,89121
18.12.19,89121
18.13.10,89122
18.13.20,32800
18.13.30,89122
18.14.10,89122
18.20.10,89123
18.20.20,89123
18.20.30,89123
19.10.10,33100
19.10.20,33200
19.10.30,34540
19.10.99,88411
19.20.11,11020
19.20.12,11040
19.20.13,11050
19.20.21,33310
19.20.22,33320
19.20.23,33330
19.20.24,33341
19.20.25,33342
19.20.26,33360
19.20.27,33350
19.20.28,33370
19.20.29,33380
19.20.31,33410
19.20.32,33420
19.20.41,33500
19.20.42,33500
19.20.99,88412
20.11.11,34210
20.11.12,34210
20.11.13,34250
20.11.99,88421
20.12.11,34220
20.12.12,34220
20.12.19,34220
20.12.21,34310
20.12.22,34320
20.12.23,34330
20.12.24,34340
20.12.99,88421
20.13.11,33620
20.13.12,33630
20.13.13,33690
20.13.14,33710
20.13.21,34231
20.13.22,34231
20.13.23,34231
20.13.24,34232
20.13.24,34231
20.13.25,34231
20.13.31,34240
20.13.32,34240
20.13.41,34240
20.13.42,34240
20.13.43,34240
20.13.51,34250
20.13.52,34250
20.13.61,34260
20.13.62,34270
20.13.63,34280
20.13.64,34280
20.13.65,34290
20.13.66,34520
20.13.67,34530
20.13.68,34560
20.13.99,88421
20.14.11,34110
20.14.12,34110
20.14.13,34110
20.14.14,34110
20.14.19,34110
20.14.21,34139
20.14.22,34139
20.14.23,34139
20.14.23,34570
20.14.24,34139
20.14.31,34120
20.14.32,34140
20.14.33,34140
20.14.34,34140
20.14.41,34150
20.14.42,34150
20.14.43,34150
20.14.44,34150
20.14.51,34160
20.14.52,34160
20.14.53,34180
20.14.61,34170
20.14.62,34170
20.14.63,34170
20.14.64,34170
20.14.71,34400
20.14.72,34510
20.14.73,34540
20.14.74,24110
20.14.75,34131
20.14.80,39230
20.14.99,88421
20.15.10,34233
20.15.10,34651
20.15.10,34652
20.15.20,34653
20.15.31,34611
20.15.32,34612
20.15.33,34613
20.15.34,34614
20.15.35,34615
20.15.39,34619
20.15.41,34621
20.15.49,34629
20.15.51,34631
20.15.52,34632
20.15.59,34639
20.15.60,34150
20.15.71,34641
20.15.72,34642
20.15.73,34643
20.15.74,34644
20.15.75,34645
20.15.76,34646
20.15.79,34649
20.15.79,34659
20.15.80,34654
20.15.99,88422
20.16.10,34710
20.16.20,34720
20.16.30,34730
20.16.40,34740
20.16.51,34790
20.16.52,34790
20.16.53,34790
20.16.54,34790
20.16.55,34790
20.16.56,34790
20.16.57,34790
20.16.59,34790
20.16.99,88423
20.17.10,34800
20.17.99,88423
20.20.11,34661
20.20.12,34663
20.20.13,34663
20.20.14,34664
20.20.15,34662
20.20.19,34669
20.20.19,34666
20.20.99,88424
20.30.11,35110
20.30.12,35110
20.30.21,35110
20.30.22,35110
20.30.23,35120
20.30.24,35130
20.30.99,88425
20.41.10,34570
20.41.20,35310
20.41.31,35321
20.41.32,35322
20.41.41,35331
20.41.42,35332
20.41.43,35333
20.41.44,35334
20.41.99,88426
20.42.11,35323
20.42.12,35323
20.42.13,35323
20.42.14,35323
20.42.15,35323
20.42.16,35323
20.42.17,35323
20.42.18,35323
20.42.19,35323
20.42.19,35321
20.42.99,88426
20.51.11,35450
20.51.12,35450
20.51.13,35460
20.51.14,35460
20.51.20,38998
20.51.99,88427
20.52.10,35420
20.52.99,88427
20.53.10,35410
20.53.99,88427
20.59.11,48341
20.59.12,48342
20.59.20,34550
20.59.30,35140
20.59.41,35430
20.59.42,35430
20.59.43,35430
20.59.51,35420
20.59.52,35440
20.59.53,35470
20.59.54,35490
20.59.55,35490
20.59.56,35490
20.59.57,35490
20.59.59,35490
20.59.60,35420
20.59.99,88427
20.60.11,35510
20.60.12,35520
20.60.13,35520
20.60.14,35530
20.60.21,35540
20.60.22,35550
20.60.23,35550
20.60.24,35560
20.60.99,88429
21.10.10,35210
21.10.20,35220
21.10.31,35230
21.10.32,35230
21.10.40,35240
21.10.51,35250
21.10.52,35250
21.10.53,35250
21.10.54,35250
21.10.60,35270
21.10.60,35290
21.10.99,88430
21.20.11,35260
21.20.12,35260
21.20.13,35260
21.20.21,35270
21.20.21,35290
21.20.22,35270
21.20.22,35290
21.20.23,35270
21.20.23,35290
21.20.24,35270
21.20.24,35290
21.20.99,88430
22.11.11,36111
22.11.12,36112
22.11.13,36113
22.11.14,36113
22.11.15,36114
22.11.16,36115
22.11.20,36120
22.11.99,88511
22.19.10,36210
22.19.20,36220
22.19.30,36230
22.19.40,36240
22.19.50,36250
22.19.60,36260
22.19.71,36270
22.19.72,36270
22.19.73,29600
22.19.73,36270
22.19.99,88512
22.21.10,36310
22.21.21,36320
22.21.29,36320
22.21.30,36330
22.21.41,36390
22.21.42,36390
22.21.99,88520
22.22.11,36410
22.22.12,36410
22.22.13,36490
22.22.14,36490
22.22.19,36490
22.22.99,88520
22.23.11,36910
22.23.12,36930
22.23.13,36950
22.23.14,36950
22.23.15,38930
22.23.19,36950
22.23.20,38703
22.23.99,88520
22.29.10,28243
22.29.21,36920
22.29.22,36920
22.29.23,36940
22.29.24,36960
22.29.25,36990
22.29.26,36990
22.29.29,29600
22.29.29,38922
22.29.29,38994
22.29.29,36990
22.29.91,88520
22.29.99,88520
22.29.99,89200
23.11.11,37112
23.11.12,37113
23.11.99,88531
23.12.11,37114
23.12.12,37115
23.12.13,37116
23.12.99,88531
23.13.11,37191
23.13.12,37193
23.13.13,37193
23.13.14,37199
23.13.91,88531
23.13.92,88531
23.13.99,88531
23.14.11,37121
23.14.12,37129
23.14.99,88531
23.19.11,37111
23.19.12,37117
23.19.21,37192
23.19.22,37194
23.19.23,37195
23.19.24,37196
23.19.25,37197
23.19.26,37199
23.19.91,88531
23.19.99,88531
23.20.11,37310
23.20.12,37320
23.20.13,37330
23.20.14,37340
23.20.99,88532
23.31.10,37370
23.31.99,88533
23.32.11,37350
23.32.12,37350
23.32.13,37360
23.32.99,88533
23.41.11,37221
23.41.12,37221
23.41.13,37222
23.41.99,88534
23.42.10,37210
23.42.99,88534
23.43.10,37292
23.43.99,88534
23.44.11,37291
23.44.12,37291
23.44.12,46932
23.44.99,88534
23.49.11,37291
23.49.12,37299
23.49.99,88534
23.51.11,37430
23.51.12,37440
23.51.99,88535
23.52.10,37420
23.52.20,37410
23.52.30,37450
23.52.99,88535
23.61.11,37540
23.61.12,37550
23.61.20,38704
23.61.99,88536
23.62.10,37530
23.62.99,88536
23.63.10,37510
23.63.99,88536
23.64.10,37510
23.64.99,88536
23.65.11,37520
23.65.12,37570
23.65.99,88536
23.69.11,37530
23.69.19,37560
23.69.99,88536
23.70.11,37610
23.70.12,37690
23.70.99,88537
23.91.11,37910
23.91.12,37910
23.91.99,88539
23.99.11,37920
23.99.12,37930
23.99.13,37940
23.99.14,37950
23.99.15,37960
23.99.19,37990
23.99.99,88539
24.10.11,41111
24.10.12,41113
24.10.12,41114
24.10.12,41115
24.10.12,41112
24.10.13,41116
24.10.14,39350
24.10.14,41117
24.10.21,41121
24.10.22,41122
24.10.23,41122
24.10.31,41211
24.10.31,41231
24.10.32,41212
24.10.33,41213
24.10.34,41214
24.10.35,41223
24.10.35,41213
24.10.36,41214
24.10.41,41221
24.10.41,41231
24.10.42,41223
24.10.42,41232
24.10.43,41223
24.10.51,41231
24.10.52,41239
24.10.53,41233
24.10.54,41233
24.10.55,41234
24.10.61,41241
24.10.62,41242
24.10.63,41243
24.10.64,41244
24.10.64,41265
24.10.65,41243
24.10.66,41244
24.10.66,41271
24.10.66,41272
24.10.66,41265
24.10.67,41273
24.10.71,41251
24.10.72,41266
24.10.73,41266
24.10.74,41252
24.10.75,41253
24.10.99,88601
24.20.11,41281
24.20.12,41282
24.20.13,41283
24.20.14,41284
24.20.21,41285
24.20.22,41286
24.20.23,41287
24.20.24,41289
24.20.31,41285
24.20.32,41286
24.20.33,41287
24.20.34,41288
24.20.35,41289
24.20.40,41293
24.20.99,88601
24.31.10,41261
24.31.10,41262
24.31.20,41271
24.31.20,41272
24.31.20,41264
24.31.20,41266
24.31.30,41264
24.31.30,41244
24.31.99,88601
24.32.10,41222
24.32.10,41224
24.32.10,41232
24.32.10,41239
24.32.10,41231
24.32.20,41231
24.32.99,88601
24.33.11,41262
24.33.12,41266
24.33.20,41262
24.33.30,42190
24.33.99,88601
24.34.11,41263
24.34.12,41267
24.34.13,41267
24.34.99,88601
24.41.10,41310
24.41.20,41320
24.41.30,41330
24.41.40,41340
24.41.50,41350
24.41.99,88602
24.42.11,41431
24.42.12,41432
24.42.21,41531
24.42.22,41532
24.42.23,41533
24.42.24,41534
24.42.25,41535
24.42.26,41536
24.42.99,88602
24.43.11,41441
24.43.12,41442
24.43.13,41443
24.43.21,41542
24.43.22,41544
24.43.23,41545
24.43.24,41547
24.43.99,88602
24.44.11,41411
24.44.12,41412
24.44.13,41413
24.44.21,41511
24.44.22,41512
24.44.23,41513
24.44.24,41514
24.44.25,41515
24.44.26,41516
24.44.99,88602
24.45.11,41422
24.45.12,41421
24.45.21,41521
24.45.22,41522
24.45.23,41523
24.45.24,41524
24.45.30,41601
24.45.30,41602
24.45.30,41603
24.45.30,41604
24.45.99,88602
24.46.10,33610
24.46.99,88602
24.51.11,89310
24.51.12,89310
24.51.13,89310
24.51.20,41291
24.51.30,41292
24.51.99,89310
24.52.10,89310
24.52.20,41291
24.52.30,41292
24.53.10,89320
24.54.10,89320
25.11.10,38702
25.11.21,42110
25.11.22,42110
25.11.23,42190
25.11.99,88711
25.12.10,42120
25.12.99,88711
25.21.11,44823
25.21.12,44825
25.21.13,44833
25.21.99,88712
25.29.11,42210
25.29.12,42220
25.29.99,88712
25.30.11,42320
25.30.12,42330
25.30.13,42342
25.30.21,42310
25.30.22,42341
25.30.99,88713
25.40.11,44720
25.40.12,44730
25.40.13,44740
25.40.14,44760
25.40.99,88720
25.50.11,89330
25.50.12,89330
25.50.13,89330
25.50.20,89330
25.61.11,88731
25.61.12,88731
25.61.21,88731
25.61.22,88731
25.62.10,88732
25.62.20,88732
25.71.11,42913
25.71.12,42914
25.71.13,42915
25.71.14,42916
25.71.15,44750
25.71.99,88733
25.72.11,42992
25.72.12,42992
25.72.13,42992
25.72.14,42992
25.72.99,88733
25.73.10,42921
25.73.20,42921
25.73.30,42921
25.73.40,42922
25.73.50,44916
25.73.60,42922
25.73.99,88733
25.91.11,42931
25.91.12,42931
25.91.99,88739
25.92.11,42931
25.92.12,42931
25.92.13,42932
25.92.99,88739
25.93.11,42941
25.93.12,42942
25.93.12,42946
25.93.13,42943
25.93.14,42944
25.93.15,42950
25.93.16,42945
25.93.17,42991
25.93.18,42997
25.93.99,88739
25.94.11,42944
25.94.12,42944
25.94.13,42944
25.94.99,88739
25.99.11,42911
25.99.12,42912
25.99.21,42993
25.99.22,42994
25.99.23,42995
25.99.24,42996
25.99.25,42997
25.99.26,42998
25.99.29,42999
25.99.29,46931
25.99.29,49540
25.99.99,88739
26.11.11,47140
26.11.12,47140
26.11.21,47150
26.11.22,47150
26.11.30,47160
26.11.40,47173
26.11.91,88741
26.11.99,88741
26.12.10,47130
26.12.20,45281
26.12.30,47920
26.12.91,88741
26.12.99,88741
26.20.11,45221
26.20.11,45222
26.20.12,45142
26.20.13,45230
26.20.14,45240
26.20.15,45250
26.20.16,45261
26.20.16,45262
26.20.16,45263
26.20.16,45264
26.20.16,45265
26.20.16,45269
26.20.17,47315
26.20.18,45266
26.20.21,45271
26.20.21,45272
26.20.22,47550
26.20.30,45289
26.20.40,45290
26.20.40,45180
26.20.40,47403
26.20.91,88742
26.20.99,88742
26.30.11,47211
26.30.12,47212
26.30.13,47213
26.30.21,47221
26.30.22,47222
26.30.23,47223
26.30.30,47401
26.30.40,47403
26.30.40,47401
26.30.50,46921
26.30.60,46960
26.30.99,88743
26.40.11,47311
26.40.12,47312
26.40.20,47313
26.40.31,47321
26.40.32,47321
26.40.33,47323
26.40.33,47214
26.40.34,47314
26.40.41,47330
26.40.42,47330
26.40.43,47330
26.40.44,47223
